Days after transplant,Number of leaves,Leaf width(cm),Leaf Length(cm),crop height(cm),change in growth(cm)
1,4,1.4,2.8,1.1,0
2,6,1.6,2.9,1.3,0.2
3,8,1.8,3.1,1.6,0.3
4,11,1.9,3.3,2,0.4
5,12,2.1,3.5,2.5,0.5
6,14,2.3,3.7,3.1,0.6
7,16,2.4,3.9,3.7,0.6
8,18,2.6,4.1,4.4,0.7
9,20,2.7,4.3,5.2,0.8
10,21,2.9,4.5,6.1,0.9
11,22,3,4.7,7.1,1
12,24,3.2,4.9,8.2,1.1
13,26,3.4,6.1,9.4,1.2
14,28,3.6,6.3,10.7,1.3
15,29,3.8,6.5,12.1,1.4
16,30,4,6.7,13.6,1.5
17,32,4.2,6.9,15.2,1.6
18,33,4.4,7.2,16.9,1.7
19,35,4.6,7.4,18.7,1.8
20,38,4.8,7.6,20.6,1.9
21,39,5,7.8,22.6,2
22,40,5.1,8.3,24.7,2.1
23,42,5.3,8.5,26.9,2.2
24,44,5.5,8.7,29.1,2.2
25,46,5.7,8.9,31.4,2.3
26,48,5.9,9.5,33.8,2.4
27,50,6.1,9.6,36.2,2.4
28,52,6.3,9.8,38.7,2.5
29,54,6.4,10.4,41.3,2.6
30,56,6.6,10.6,44,2.7
31,58,6.8,12.2,46.8,2.8
32,59,6.9,12.6,49.7,2.9
33,62,7.1,12.8,52.7,3
34,64,7.3,13.6,55.8,3.1
35,66,7.4,13.8,59,3.2
36,68,7.6,14.4,62.3,3.3
37,70,7.7,14.6,65.7,3.4
38,71,7.9,14.8,69.2,3.5
39,72,8.1,15.3,72.8,3.6
40,73,8.3,15.6,76.5,3.7
41,75,8.5,15.8,80.3,3.8
42,77,8.7,16.6,84.2,3.9
