Days after transplant,Number of leaves,Leaf width(cm),Leaf Length(cm),crop height(cm),change in growth(cm)
1,5,1.6,3.3,1.8,0
2,7,1.8,3.8,2,0.2
3,9,2,4.7,2.3,0.3
4,11,2.2,5,2.7,0.4
5,13,2.4,5.3,3.3,0.5
6,15,2.6,5.6,3.8,0.5
7,17,2.8,6.3,4.3,0.5
8,19,3,6.8,5.2,0.7
9,21,3.2,7.4,6.1,0.8
10,24,3.4,7.6,7.1,0.9
11,26,3.6,7.8,8.2,1
12,28,3.8,8,9.4,1.1
13,30,4,8.2,10.7,1.2
14,32,4.2,8.6,12.1,1.3
15,34,4.4,9.5,13.6,1.4
16,36,4.6,10,15.2,1.5
17,38,4.8,10.6,16.9,1.6
18,40,5,10.8,18.7,1.7
19,42,5.2,11.4,20.6,1.8
20,44,5.4,11.8,22.6,1.9
21,46,5.6,12.2,24.7,2
22,48,5.8,12.4,26.9,2.1
23,50,6,12.8,29.2,2.2
24,52,6.2,13.2,31.4,2.2
25,54,6.4,13.8,33.8,2.3
26,56,6.6,14.5,36.3,2.4
27,58,6.8,14.8,38.9,2.5
28,60,7,15.2,41.4,2.5
29,62,7.2,15.6,44.1,2.6
30,64,7.4,16.2,46.9,2.7
31,66,7.6,16.8,49.8,2.8
32,68,7.8,17,52.8,2.9
33,70,8,17.2,55.9,3
34,72,8.2,17.4,59.1,3.1
35,74,8.4,17.8,62.4,3.2
36,76,8.6,18.5,65.7,3.3
37,78,8.8,18.9,69.2,3.4
38,80,9,19.2,72.8,3.5
39,82,9.2,19.4,76.4,3.6
40,84,9.4,19.6,80.5,3.9
41,86,9.6,19.8,84.5,4
42,88,9.8,20.2,88.6,4.2
